 time            v(vo)          
 1.00212473e-05  1.01847242e+00 
 1.00284358e-05  1.02451657e+00 
 1.00374350e-05  1.02839500e+00 
 1.00491215e-05  1.03029477e+00 
 1.00710975e-05  1.03152889e+00 
 1.01150495e-05  1.03294679e+00 
 1.02029535e-05  1.03588524e+00 
 1.03787615e-05  1.04161862e+00 
 1.05000100e-05  1.04554161e+00 
 1.05000110e-05  1.04554144e+00 
 1.05000130e-05  1.04554095e+00 
 1.05000170e-05  1.04553955e+00 
 1.05000200e-05  1.04553843e+00 
 1.05000208e-05  1.04553839e+00 
 1.05000224e-05  1.04553847e+00 
 1.05000256e-05  1.04553938e+00 
 1.05000320e-05  1.04554208e+00 
 1.05000448e-05  1.04554653e+00 
 1.05000704e-05  1.04555097e+00 
 1.05001174e-05  1.04555417e+00 
 1.05002113e-05  1.04552367e+00 
 1.05003554e-05  1.04533064e+00 
 1.05004592e-05  1.04518104e+00 
 1.05005701e-05  1.04515829e+00 
 1.05007412e-05  1.04517137e+00 
 1.05009052e-05  1.04516384e+00 
 1.05011917e-05  1.04517075e+00 
 1.05015302e-05  1.04516582e+00 
 1.05020200e-05  1.04517041e+00 
 1.05028138e-05  1.04516630e+00 
 1.05040669e-05  1.04517018e+00 
 1.05063823e-05  1.04516642e+00 
 1.05103397e-05  1.04517011e+00 
